,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,PlayingTime_MP,PlayingTime_Starts,PlayingTime_Min,PlayingTime_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Expected_xG,Expected_npxG,Expected_xAG,Expected_npxG+xAG,Progression_PrgC,Progression_PrgP,Progression_PrgR,Per90Minutes_Gls,Per90Minutes_Ast,Per90Minutes_G+A,Per90Minutes_G-PK,Per90Minutes_G+A-PK,Per90Minutes_xG,Per90Minutes_xAG,Per90Minutes_xG+xAG,Per90Minutes_npxG,Per90Minutes_npxG+xAG,Matches
42,43,Leonardo Balerdi,ar ARG,DF,Marseille,23,1999,35,30,2639,29.3,0,1,1,0,0,0,9,1,1.3,1.3,0.2,1.4,15,97,19,0.0,0.03,0.03,0.0,0.03,0.04,0.01,0.05,0.04,0.05,Matches
43,44,Folarin Balogun,us USA,FW,Reims,21,2001,37,34,2999,33.3,21,2,23,15,6,7,5,0,26.6,21.0,3.8,24.8,56,55,283,0.63,0.06,0.69,0.45,0.51,0.8,0.11,0.91,0.63,0.74,Matches
44,45,Abdoulaye Bamba,ci CIV,DF,Angers,32,1990,21,12,1364,15.2,0,0,0,0,0,0,2,0,0.0,0.0,0.3,0.3,8,36,19,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.02,Matches
45,46,Jonathan Bamba,ci CIV,FW,Lille,26,1996,34,32,2783,30.9,6,7,13,6,0,0,6,0,8.2,8.2,6.5,14.7,111,146,345,0.19,0.23,0.42,0.19,0.42,0.27,0.21,0.47,0.27,0.47,Matches
46,47,Bradley Barcola,fr FRA,FWMF,Lyon,19,2002,26,15,1440,16.0,5,8,13,5,0,0,3,0,3.4,3.4,3.9,7.4,51,39,156,0.31,0.5,0.81,0.31,0.81,0.22,0.25,0.46,0.22,0.46,Matches
47,48,Melvin Bard,fr FRA,DF,Nice,21,2000,33,28,2456,27.3,0,0,0,0,0,0,6,0,0.5,0.5,0.9,1.4,61,96,126,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.05,0.02,0.05,Matches
48,49,Ross Barkley,eng ENG,MFFW,Nice,28,1993,27,9,960,10.7,4,2,6,4,0,0,1,0,4.3,4.3,2.4,6.7,30,48,46,0.37,0.19,0.56,0.37,0.56,0.42,0.23,0.65,0.42,0.65,Matches
49,50,Mickaël Barreto,fr FRA,MF,Ajaccio,31,1991,20,15,1325,14.7,1,1,2,1,0,0,1,0,0.9,0.9,1.9,2.8,26,87,53,0.07,0.07,0.14,0.07,0.14,0.06,0.13,0.19,0.06,0.19,Matches
50,51,Cyrille Bayala,bf BFA,MF,Ajaccio,26,1996,33,25,2009,22.3,1,1,2,1,0,0,3,1,2.0,2.0,2.0,4.1,46,66,109,0.04,0.04,0.09,0.04,0.09,0.09,0.09,0.18,0.09,0.18,Matches
51,52,Yanis Begraoui,ma MAR,FWMF,Toulouse,21,2001,3,1,65,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.3,0.3,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.37,0.37,0.0,0.37,Matches
52,53,Alexis Beka Beka,fr FRA,MFDF,Nice,21,2001,14,7,545,6.1,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.5,13,25,23,0.0,0.0,0.0,0.0,0.0,0.08,0.01,0.09,0.08,0.09,Matches
53,54,Jérémie Bela,ao ANG,DFMF,Clermont Foot,29,1993,19,7,743,8.3,1,1,2,1,0,0,0,0,0.6,0.6,0.2,0.8,22,24,54,0.12,0.12,0.24,0.12,0.24,0.07,0.03,0.1,0.07,0.1,Matches
