,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Tackles_Tkl,Tackles_TklW,Tackles_Def 3rd,Tackles_Mid 3rd,Tackles_Att 3rd,Challenges_Tkl,Challenges_Att,Challenges_Tkl%,Challenges_Lost,Blocks_Blocks,Blocks_Sh,Blocks_Pass,_Int,_Tkl+Int,_Clr,_Err,Matches
133,134,Brahim Díaz,ma MAR,FWMF,Real Madrid,23.0,1999.0,17.2,29,19,4,16,9,6,13,46.2,7,16,1,15,5,34,2,0,Matches
134,135,Víctor Díaz,es ESP,DFMF,Granada,35.0,1988.0,1.8,5,3,2,3,0,1,3,33.3,2,1,0,1,1,6,8,0,Matches
135,136,Famara Diedhiou,sn SEN,FWMF,Granada,30.0,1992.0,1.0,1,1,0,1,0,0,1,0.0,1,0,0,0,0,1,2,0,Matches
136,137,Stole Dimitrievski,mk MKD,GK,Rayo Vallecano,29.0,1993.0,37.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,17,3,Matches
137,138,Djené,tg TOG,DFMF,Getafe,31.0,1991.0,27.6,34,19,18,13,3,15,26,57.7,11,31,15,16,23,57,70,0,Matches
138,139,Marko Dmitrović,rs SRB,GK,Sevilla,31.0,1992.0,13.0,1,1,1,0,0,1,2,50.0,1,0,0,0,1,2,5,0,Matches
139,140,Jaume Doménech,es ESP,GK,Valencia,32.0,1990.0,0.9,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
140,141,Carlos Dominguez,es ESP,DF,Celta Vigo,22.0,2001.0,17.6,33,21,17,9,7,23,37,62.2,14,24,12,12,22,55,78,0,Matches
141,142,Mario Dominguez,es ESP,FW,Valencia,19.0,2004.0,0.3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches
142,143,Carlos Dotor,es ESP,MF,Celta Vigo,22.0,2001.0,7.9,14,7,3,8,3,4,13,30.8,9,12,2,10,4,18,4,0,Matches
143,144,Anastasios Douvikas,gr GRE,FW,Celta Vigo,23.0,1999.0,10.1,15,7,2,6,7,3,8,37.5,5,6,3,3,2,17,9,0,Matches
144,145,Artem Dovbyk,ua UKR,FW,Girona,26.0,1997.0,28.7,4,3,2,1,1,0,2,0.0,2,8,1,7,0,4,17,0,Matches
145,146,Domingos Duarte,pt POR,DF,Getafe,28.0,1995.0,10.1,7,4,6,0,1,5,7,71.4,2,7,5,2,8,15,27,0,Matches
146,147,Rubén Duarte,es ESP,DF,Alavés,27.0,1995.0,20.9,39,20,21,16,2,21,31,67.7,10,21,6,15,23,62,69,0,Matches
147,148,Hugo Duro,es ESP,FW,Valencia,23.0,1999.0,33.1,16,8,5,8,3,9,29,31.0,20,24,5,19,5,21,27,0,Matches
148,149,Aritz Elustondo,es ESP,DF,Real Sociedad,29.0,1994.0,9.0,11,7,5,4,2,6,14,42.9,8,12,10,2,7,18,26,0,Matches
149,150,Adri Embarba,es ESP,FWMF,Almería,31.0,1992.0,27.5,55,37,29,15,11,26,53,49.1,27,37,1,36,15,70,12,0,Matches
150,151,Youssef En-Nesyri,ma MAR,FW,Sevilla,26.0,1997.0,28.6,10,7,3,4,3,0,10,0.0,10,9,1,8,7,17,29,1,Matches
151,152,Gonzalo Escalante,ar ARG,MF,Cádiz,30.0,1993.0,18.9,39,24,16,14,9,20,55,36.4,35,23,5,18,26,65,33,2,Matches
152,153,Aarón Escandell,es ESP,GK,Las Palmas,27.0,1995.0,1.7,0,0,0,0,0,0,0,,0,0,0,0,0,0,1,1,Matches
153,154,Alfonso Espino,uy URU,DF,Rayo Vallecano,31.0,1992.0,27.9,67,45,43,22,2,30,82,36.6,52,26,4,22,40,107,63,0,Matches
154,155,Bernardo Espinosa,co COL,DF,Girona,34.0,1989.0,0.0,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,2,0,Matches
155,156,Karl Etta,cm CMR,FW,Cádiz,19.0,2004.0,0.2,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0,Matches
156,157,Abdessamad Ezzalzouli,ma MAR,FWMF,Barcelona,21.0,2001.0,0.8,1,1,0,0,1,0,1,0.0,1,1,0,1,0,1,0,0,Matches
157,158,Abdessamad Ezzalzouli,ma MAR,FW,Betis,21.0,2001.0,9.6,17,14,7,5,5,4,14,28.6,10,10,0,10,5,22,5,0,Matches
158,159,Radamel Falcao,co COL,FWDF,Rayo Vallecano,37.0,1986.0,4.5,7,5,1,5,1,1,3,33.3,2,2,0,2,3,10,4,0,Matches
159,160,Fali,es ESP,DF,Cádiz,29.0,1993.0,28.3,41,26,29,11,1,21,36,58.3,15,38,24,14,27,68,120,0,Matches
160,161,Ansu Fati,es ESP,MFFW,Barcelona,20.0,2002.0,0.6,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0,Matches
161,162,Nabil Fekir,fr FRA,MFFW,Betis,30.0,1993.0,11.7,15,10,5,7,3,5,10,50.0,5,9,0,9,7,22,3,0,Matches
162,163,Luiz Felipe,it ITA,DF,Betis,26.0,1997.0,4.0,7,3,5,2,0,4,5,80.0,1,10,4,6,4,11,16,0,Matches
163,164,João Félix,pt POR,FW,Barcelona,23.0,1999.0,17.1,22,16,9,7,6,8,22,36.4,14,14,1,13,10,32,11,0,Matches
164,165,Kiko Femenía,es ESP,DF,Villarreal,32.0,1991.0,17.6,35,25,19,13,3,19,34,55.9,15,21,6,15,31,66,45,0,Matches
165,166,Aitor Fernández,es ESP,GK,Osasuna,32.0,1991.0,6.1,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,5,1,Matches
