,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Standard_Gls,Standard_Sh,Standard_SoT,Standard_SoT%,Standard_Sh/90,Standard_SoT/90,Standard_G/Sh,Standard_G/SoT,Standard_Dist,Standard_FK,Standard_PK,Standard_PKatt,Expected_xG,Expected_npxG,Expected_npxG/Sh,Expected_G-xG,Expected_np:G-xG,Matches
112,113,Lucas Chevalier,fr FRA,GK,Lille,21,2001,33.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
113,114,Pedro Chirivella,es ESP,MF,Nantes,26,1997,28.8,1,17,6,35.3,0.59,0.21,0.06,0.17,19.8,0,0,0,1.5,1.5,0.09,-0.5,-0.5,Matches
114,115,Joris Chotard,fr FRA,MF,Montpellier,21,2001,28.7,0,21,7,33.3,0.73,0.24,0.0,0.0,26.1,0,0,0,0.6,0.6,0.03,-0.6,-0.6,Matches
115,116,Djaoui Cissé,fr FRA,MF,Rennes,19,2004,0.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
116,117,Ibrahim Cissoko,nl NED,FWMF,Toulouse,20,2003,2.7,1,8,4,50.0,2.99,1.49,0.13,0.25,20.2,0,0,0,0.8,0.8,0.1,0.2,0.2,Matches
117,118,Alexis Claude-Maurice,fr FRA,MF,Nice,25,1998,5.6,0,18,6,33.3,3.21,1.07,0.0,0.0,25.1,1,0,0,0.8,0.8,0.04,-0.8,-0.8,Matches
118,119,Jonathan Clauss,fr FRA,DF,Marseille,30,1992,23.0,3,28,8,28.6,1.22,0.35,0.11,0.38,23.0,3,0,0,1.3,1.3,0.05,1.7,1.7,Matches
119,120,Marcus Coco,fr FRA,DFFW,Nantes,27,1996,16.5,1,9,2,22.2,0.55,0.12,0.11,0.5,20.0,0,0,0,0.8,0.8,0.09,0.2,0.2,Matches
120,121,Maxime Colin,fr FRA,DF,Metz,31,1991,20.4,0,6,0,0.0,0.29,0.0,0.0,,22.7,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
121,122,Eray Cömert,ch SUI,DF,Nantes,25,1998,22.2,2,9,3,33.3,0.41,0.14,0.22,0.67,17.1,1,0,0,0.7,0.7,0.08,1.3,1.3,Matches
122,123,Alois Confais,fr FRA,MFFW,Le Havre,26,1996,0.1,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
123,124,Joaquín Correa,ar ARG,FWMF,Marseille,28,1994,4.8,0,4,2,50.0,0.84,0.42,0.0,0.0,19.3,1,0,0,0.6,0.6,0.16,-0.6,-0.6,Matches
124,125,Oscar Cortés,co COL,FWMF,Lens,19,2003,0.5,1,1,1,100.0,2.05,2.05,1.0,1.0,7.7,0,0,0,0.5,0.5,0.46,0.5,0.5,Matches
125,126,David Pereira da Costa,pt POR,MF,Lens,22,2001,16.6,4,30,14,46.7,1.81,0.84,0.13,0.29,17.8,2,0,0,3.0,3.0,0.1,1.0,1.0,Matches
126,127,Logan Costa,cv CPV,DF,Toulouse,22,2001,29.4,1,14,4,28.6,0.48,0.14,0.07,0.25,14.2,0,0,0,1.4,1.4,0.1,-0.4,-0.4,Matches
127,128,Grégoire Coudert,fr FRA,GK,Brest,24,1999,2.0,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
128,129,Mamadou Coulibaly,fr FRA,MF,Monaco,19,2004,1.3,0,2,0,0.0,1.53,0.0,0.0,,20.4,0,0,0,0.2,0.2,0.09,-0.2,-0.2,Matches
129,130,Tanguy Coulibaly,fr FRA,FWMF,Montpellier,22,2001,6.9,1,17,7,41.2,2.46,1.01,0.06,0.14,14.1,0,0,0,2.6,2.6,0.15,-1.6,-1.6,Matches
130,131,Nicolas Cozza,fr FRA,DF,Nantes,24,1999,9.9,0,5,0,0.0,0.5,0.0,0.0,,12.2,0,0,0,0.7,0.7,0.14,-0.7,-0.7,Matches
131,132,Trévis Dago,ci CIV,FWMF,Lille,18,2005,0.3,0,1,0,0.0,3.91,0.0,0.0,,9.5,0,0,0,0.0,0.0,0.04,0.0,0.0,Matches
132,133,Thijs Dallinga,nl NED,FW,Toulouse,22,2000,27.9,14,81,32,39.5,2.9,1.15,0.16,0.41,13.3,1,1,3,14.1,11.8,0.15,-0.1,1.2,Matches
133,134,Kevin Danso,at AUT,DF,Lens,24,1998,29.5,1,21,5,23.8,0.71,0.17,0.05,0.2,14.2,0,0,0,1.8,1.8,0.09,-0.8,-0.8,Matches
134,135,Dante,br BRA,DF,Nice,39,1983,31.6,1,15,5,33.3,0.47,0.16,0.07,0.2,13.9,0,0,0,0.9,0.9,0.06,0.1,0.1,Matches
135,136,Raimane Daou,km COM,DFMF,Marseille,18,2004,0.3,0,0,0,,0.0,0.0,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
