,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,AerialDuels_Won,AerialDuels_Lost,AerialDuels_Won%,Matches
270,271,Caoimhín Kelleher,ie IRL,GK,Liverpool,23,1998,1.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
271,272,Lloyd Kelly,eng ENG,DF,Bournemouth,23,1998,22.7,3,0,0,17,5,0,14,26,18,0,1,0,131,36,20,64.3,Matches
272,273,Max Kilman,eng ENG,DF,Wolves,25,1997,36.7,3,0,0,18,12,0,5,19,20,0,0,0,219,86,42,67.2,Matches
273,274,Jakub Kiwior,pl POL,DF,Arsenal,22,2000,4.7,0,0,0,1,1,0,1,6,5,0,0,0,20,8,10,44.4,Matches
274,275,Mateusz Klich,pl POL,MFFW,Leeds United,32,1990,3.1,2,0,0,10,3,0,8,0,8,0,0,0,24,1,2,33.3,Matches
275,276,Robin Koch,de GER,DF,Leeds United,26,1996,35.3,7,0,0,35,17,1,1,43,30,0,0,1,193,111,69,61.7,Matches
276,277,Ibrahima Konaté,fr FRA,DF,Liverpool,23,1999,17.2,5,0,0,29,15,1,1,26,26,0,1,1,107,46,14,76.7,Matches
277,278,Ezri Konsa,eng ENG,DF,Aston Villa,24,1997,36.9,6,0,0,12,64,0,4,26,20,0,0,0,164,55,37,59.8,Matches
278,279,Kalidou Koulibaly,sn SEN,DF,Chelsea,31,1991,20.0,7,1,1,22,9,0,4,29,31,0,0,0,126,33,28,54.1,Matches
279,280,Cheikhou Kouyaté,sn SEN,MF,Nott'ham Forest,32,1989,9.8,3,0,0,22,12,1,0,10,21,0,0,0,56,18,8,69.2,Matches
280,281,Mateo Kovačić,hr CRO,MF,Chelsea,28,1994,19.0,8,0,0,18,12,0,6,19,24,0,0,0,121,10,10,50.0,Matches
281,282,Emil Krafth,se SWE,DF,Newcastle Utd,27,1994,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,Matches
282,283,Rasmus Kristensen,dk DEN,DF,Leeds United,25,1997,21.8,4,0,0,19,6,1,35,35,35,0,0,0,119,34,27,55.7,Matches
283,284,Dejan Kulusevski,se SWE,MFFW,Tottenham,22,2000,23.0,2,0,0,36,25,3,62,13,15,0,1,0,145,3,7,30.0,Matches
284,285,Layvin Kurzawa,fr FRA,DF,Fulham,29,1992,1.5,1,0,0,1,0,0,2,2,2,0,0,0,5,0,2,0.0,Matches
285,286,Adam Lallana,eng ENG,MFFW,Brighton,34,1988,8.0,0,0,0,2,7,0,3,2,4,0,0,0,25,8,9,47.1,Matches
286,287,Tariq Lamptey,gh GHA,DF,Brighton,21,2000,5.0,1,0,0,6,14,0,31,7,6,0,0,0,31,2,7,22.2,Matches
287,288,Manuel Lanzini,ar ARG,MFFW,West Ham,29,1993,2.8,0,0,0,1,2,2,2,2,2,0,0,0,21,1,2,33.3,Matches
288,289,Aymeric Laporte,es ESP,DF,Manchester City,28,1994,11.0,0,0,0,5,7,1,6,3,8,0,0,0,55,24,19,55.8,Matches
289,290,Juan Larios,es ESP,DF,Southampton,18,2004,1.7,0,0,0,1,0,0,4,3,6,0,0,0,9,2,5,28.6,Matches
290,291,Jamaal Lascelles,eng ENG,DF,Newcastle Utd,28,1993,2.4,4,0,0,6,2,0,0,0,0,0,0,0,5,5,3,62.5,Matches
291,292,Roméo Lavia,be BEL,MF,Southampton,18,2004,24.7,9,0,0,28,48,0,3,33,35,1,0,0,187,7,10,41.2,Matches
292,293,Dexter Lembikisa,jm JAM,DF,Wolves,18,2003,0.3,0,0,0,0,0,0,1,0,0,0,0,0,2,0,1,0.0,Matches
293,294,Mario Lemina,ga GAB,MF,Wolves,28,1993,14.4,4,1,1,18,9,1,3,14,24,0,0,0,91,17,5,77.3,Matches
294,295,Clément Lenglet,fr FRA,DF,Tottenham,27,1995,22.4,4,0,0,23,17,0,16,18,23,0,0,0,119,43,28,60.6,Matches
295,296,Bernd Leno,de GER,GK,Fulham,30,1992,36.0,3,0,0,1,3,0,0,0,0,0,1,0,50,11,0,100.0,Matches
296,297,Jefferson Lerma,co COL,MF,Bournemouth,27,1994,36.1,7,0,0,37,33,2,11,47,30,0,2,1,260,62,40,60.8,Matches
297,298,Jamal Lewis,nir NIR,DFFW,Newcastle Utd,24,1998,0.1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0.0,Matches
298,299,Rico Lewis,eng ENG,DFMF,Manchester City,17,2004,10.0,1,0,0,10,18,0,5,6,9,0,0,0,43,0,6,0.0,Matches
