,_Rk,_Player,_Nation,_Pos,_Squad,_Age,_Born,_90s,Performance_CrdY,Performance_CrdR,Performance_2CrdY,Performance_Fls,Performance_Fld,Performance_Off,Performance_Crs,Performance_Int,Performance_TklW,Performance_PKwon,Performance_PKcon,Performance_OG,Performance_Recov,AerialDuels_Won,AerialDuels_Lost,AerialDuels_Won%,Matches
283,284,Lennard Maloney,us USA,MF,Heidenheim,23.0,1999.0,25.4,1,0,0,44,15,0,4,25,26,0,2,1,132,67,49,57.8,Matches
284,285,David Mamutovic,de GER,FWDF,Mainz 05,22.0,2000.0,0.1,0,0,0,0,2,0,1,0,1,0,0,0,2,0,1,0.0,Matches
285,286,Braydon Manu,gh GHA,MF,Darmstadt 98,26.0,1997.0,1.9,1,0,0,4,1,0,4,0,0,0,0,0,7,0,3,0.0,Matches
286,287,Omar Marmoush,eg EGY,FWMF,Eint Frankfurt,24.0,1999.0,25.6,7,0,0,28,74,12,33,11,11,2,1,0,90,27,29,48.2,Matches
287,288,Eric Martel,de GER,MF,Köln,21.0,2002.0,27.3,6,0,0,52,41,2,19,43,43,1,1,0,152,70,54,56.5,Matches
288,289,Erhan Mašović,rs SRB,DFMF,Bochum,24.0,1998.0,24.7,7,0,0,22,15,0,5,25,40,0,0,1,117,35,53,39.8,Matches
289,290,Roberto Massimo,de GER,FWDF,Stuttgart,22.0,2000.0,0.9,1,0,0,2,1,0,0,0,0,0,0,0,8,1,3,25.0,Matches
290,291,Jean Mattéo Bahoya,fr FRA,MFFW,Eint Frankfurt,18.0,2005.0,2.0,0,0,0,1,1,1,6,1,1,0,0,0,15,1,4,20.0,Matches
291,292,Philipp Max,de GER,DF,Eint Frankfurt,29.0,1993.0,15.0,2,0,0,7,9,2,59,7,17,0,1,0,65,12,16,42.9,Matches
292,293,Eric Maxim Choupo-Moting,cm CMR,MFFW,Bayern Munich,34.0,1989.0,8.0,1,0,0,10,7,2,11,7,12,0,0,0,41,15,9,62.5,Matches
293,294,Noussair Mazraoui,ma MAR,DF,Bayern Munich,25.0,1997.0,13.3,3,0,0,10,11,0,19,20,21,0,0,0,63,19,21,47.5,Matches
294,295,Kevin Mbabu,ch SUI,DF,Augsburg,28.0,1995.0,22.7,5,0,0,45,26,2,101,24,39,0,0,0,119,26,15,63.4,Matches
295,296,Noah Mbamba,be BEL,MF,Leverkusen,18.0,2005.0,0.2,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,,Matches
